[0322/133844.098:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0322/133844.099:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0322/133844.099:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0322/133844.099:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0322/133844.100:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0322/133844.100:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0322/133844.101:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0322/133844.101:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0322/133844.101:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0322/133844.101:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0322/133844.109:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.457:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.461:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.461:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.462:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.462:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.463:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.463:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.463:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.463:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.465:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.465:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.465:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.465:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133844.466:WARNING:backend_impl.cc(1816)] Destroying invalid entry.
[0322/133850.020:INFO:CONSOLE(157)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v4/yN/r/DNHj_sTOAjH.js (157)
